district,monthly_ndvi_mean,year,month
anand,5.5890404032387017e-05,2006,1
anand,5.587500160605964e-05,2006,2
anand,4.443506415731233e-05,2006,3
anand,4.016542169376554e-05,2006,4
anand,3.5577144430405964e-05,2006,5
anand,3.18872641055419e-05,2006,6
anand,2.540361675738824e-05,2006,7
anand,3.983648256396738e-05,2006,8
anand,5.619937531477716e-05,2006,9
anand,4.983219646883231e-05,2006,10
anand,4.644368025792703e-05,2006,11
anand,5.078436811510252e-05,2006,12
anand,5.4967073743101446e-05,2007,1
anand,5.426034021412909e-05,2007,2
anand,4.281549393487496e-05,2007,3
anand,4.165205631768209e-05,2007,4
anand,3.629173907541984e-05,2007,5
anand,3.08863742433663e-05,2007,6
anand,3.2152977803431e-05,2007,7
anand,5.459050371227621e-05,2007,8
anand,6.278053732629055e-05,2007,9
anand,5.45883425845311e-05,2007,10
anand,4.542830186232405e-05,2007,11
anand,4.679163424764023e-05,2007,12
anand,5.4834592815202245e-05,2008,1
anand,5.3786217703135294e-05,2008,2
anand,4.316740188761384e-05,2008,3
anand,4.075962212868798e-05,2008,4
anand,3.8840031648417496e-05,2008,5
anand,2.6494917035482657e-05,2008,6
anand,2.9668871672618208e-05,2008,7
anand,4.775732386583196e-05,2008,8
anand,5.391908444790199e-05,2008,9
anand,4.998169139523933e-05,2008,10
anand,4.516731916109315e-05,2008,11
anand,4.9075478778903866e-05,2008,12
anand,5.782147160797132e-05,2009,1
anand,5.231079345585309e-05,2009,2
anand,4.102611556250242e-05,2009,3
anand,3.815815418679254e-05,2009,4
anand,3.4694892547769665e-05,2009,5
anand,3.002177933406028e-05,2009,6
anand,3.085539979563073e-05,2009,7
anand,5.3243263096369166e-05,2009,8
anand,5.651017432010256e-05,2009,9
anand,5.0737499704643386e-05,2009,10
anand,4.715278859829066e-05,2009,11
anand,5.2258359957829074e-05,2009,12
anand,5.890483151147746e-05,2010,1
anand,5.581004504948173e-05,2010,2
anand,4.28367871715843e-05,2010,3
anand,3.937126684573231e-05,2010,4
anand,3.504149479152032e-05,2010,5
anand,3.074642027693544e-05,2010,6
anand,3.2399403713390727e-05,2010,7
anand,4.355464405558029e-05,2010,8
anand,6.021538439720706e-05,2010,9
anand,5.478282347744444e-05,2010,10
anand,4.855469435796341e-05,2010,11
anand,5.055244660871673e-05,2010,12
anand,5.7467982356217975e-05,2011,1
anand,5.774456833616221e-05,2011,2
anand,4.411147012310703e-05,2011,3
anand,3.941579850951776e-05,2011,4
anand,3.836833054260971e-05,2011,5
anand,2.6628064507685543e-05,2011,6
